cps_identifier,logrhk,age
87836,-5.052,6.71
87883,-4.789,2.58
88072,-4.988,5.35
88218,-5.094,7.72
88230,-4.55,1.1
88371,-4.941,4.51
88725,-4.902,3.9
88986,-5.044,6.53
89269,-4.951,4.68
89391,-5.143,9.08
90125,-5.111,8.17
90156,-4.975,5.1
9070,-4.83,2.99
90711,-4.952,4.7
90722,-5.05,6.66
90875,-4.751,2.25
91204,-5.088,7.59
92222a,-4.462,0.69
92719,-4.83,2.99
92788,-5.006,5.71
9331,-5.036,6.34
93745,-5.057,6.83
9407,-4.985,5.3
95128,-4.986,5.31
9518a,-5.022,6.04
9540a,-4.631,1.48
9562,-5.056,6.79
95650,-4.116,0.0
95735,-5.146,9.16
96700,-4.849,3.22
97101,-4.768,2.39
97101b,-4.679,1.75
97343,-5.03,6.22
97658,-4.916,4.12
9826,-4.989,5.37
98281,-4.913,4.07
98618,-5.016,5.91
99109,-5.065,7.01
99491,-4.868,3.45
99492,-4.882,3.62
9986,-4.895,3.81
bd-103166,-4.775,2.45
g161-29,-4.874,3.53
g205-028,-4.934,4.4
g207-019,-5.102,7.93
g60-06,-4.931,4.36
gl109,-4.988,5.36
gl2066,-4.9,3.87
gl226,-4.983,5.26
gl239,-4.774,2.44
gl250b,-4.745,2.2
gl26,-4.915,4.1
gl273,-5.089,7.61
gl317,-4.887,3.7
gl357,-5.196,10.67
gl382,-4.532,1.02
gl388,-3.952,0.0
gl393,-4.807,2.76
gl397,-4.627,1.47
gl4063,-5.012,5.83
gl408,-4.947,4.61
gl412a,-5.236,11.95
gl433,-4.903,3.92
gl445,-5.32,14.94
gl450,-4.587,1.27
gl47,-4.861,3.36
gl48,-4.889,3.72
gl486,-5.178,10.09
gl49,-4.33,0.12
gl514,-4.692,1.83
gl528b,-4.638,1.52
gl569a,-4.147,0.0
gl625,-5.093,7.7
gl667c,-5.102,7.95
gl686,-4.942,4.53
gl687,-5.098,7.83
gl694,-4.867,3.43
gl699,-5.173,9.93
gl745a,-5.428,19.12
gl745b,-5.424,18.95
gl793,-4.719,2.01
gl803,-3.832,0.0
