CPS Name,Lit. Name,system_name,sysname,cps_identifier,comp_ind,Msini,Msini_high,Msini_low,a,a_high,a_low,ecc,ecc_high,ecc_low,teff,teff_err,feh,feh_err,logg,logg_err,Rstar,Rstar_err,Mstar,Mstar_err,Vmag,BV_color,parallax
HD 175541 b,HD 175541 b,HD 175541,HD175541,175541,0,0.577,0.049,0.047,0.99,0.03,0.032,0.057,0.053,0.039,4970.4,60.4,-0.098,0.059,3.297,0.046,4.493,0.117,1.449,0.137,2.5016,0.89,0.00769
HD 177830c,HD 177830c,HD 177830,HD177830,177830,0,0.104,0.016,0.015,0.496,0.017,0.018,0.54,0.12,0.15,4744.9,66.8,0.353,0.057,3.454,0.051,3.576,0.087,1.319,0.139,3.3196,1.092,0.0159
HD 177830 b,HD 177830 b,HD 177830,HD177830,177830,1,1.347,0.097,0.098,1.179,0.04,0.043,0.028,0.017,0.017,4744.9,66.8,0.353,0.057,3.454,0.051,3.576,0.087,1.319,0.139,3.3196,1.092,0.0159
HD 178911B b,HD 178911B b,HD 178911B,HD178911B,178911b,0,7.07,0.22,0.23,0.34,0.0053,0.0055,0.1132,0.0025,0.0025,5576.1,88.8,0.26,0.06,4.423,0.032,1.032,0.023,1.026,0.049,4.6321,0.73,0.02438
HD 179949 b,HD 179949 b,HD 179949,HD179949,179949,0,0.966,0.031,0.03,0.04439,0.00045,0.00046,0.016,0.017,0.011,6176.2,90.2,0.155,0.056,4.317,0.023,1.267,0.028,1.22,0.038,4.0932,0.503,0.03639
HD 181234 b,HD 181234 b,HD 181234,HD181234,181234,0,8.9,1.9,0.76,7.48,0.39,0.23,0.793,0.086,0.082,5372.8,79.7,0.377,0.056,4.375,0.028,1.059,0.024,0.973,0.037,4.9577,1.0,0.02092
HD 183263 b,HD 183263 b,HD 183263,HD183263,183263,0,3.705,0.098,0.1,1.508,0.02,0.02,0.3786,0.004,0.004,5876.0,101.2,0.278,0.063,4.281,0.03,1.293,0.031,1.171,0.046,4.2458,0.63,0.01842
HD 183263c,HD 183263c,HD 183263,HD183263,183263,1,7.97,0.22,0.22,6.038,0.082,0.085,0.0595,0.0064,0.0063,5876.0,101.2,0.278,0.063,4.281,0.03,1.293,0.031,1.171,0.046,4.2458,0.63,0.01842
HD 186427 b,16 Cyg B b,HD 186427,HD186427,186427,0,1.752,0.054,0.054,1.676,0.025,0.026,0.6832,0.0031,0.0031,5712.0,93.3,0.074,0.061,4.3,0.031,1.159,0.027,0.983,0.045,4.5466,0.66,0.04728
HD 187123 b,HD 187123 b,HD 187123,HD187123,187123,0,0.501,0.016,0.016,0.04185,0.00065,0.00067,0.004,0.004,0.0028,5765.9,96.3,0.106,0.06,4.32,0.032,1.155,0.027,1.02,0.048,4.4576,0.61,0.02173
HD 187123c,HD 187123c,HD 187123,HD187123,187123,1,1.713,0.058,0.058,4.431,0.071,0.072,0.227,0.016,0.017,5765.9,96.3,0.106,0.06,4.32,0.032,1.155,0.027,1.02,0.048,4.4576,0.61,0.02173
HD 188015 b,HD 188015 b,HD 188015,HD188015,188015,0,1.455,0.06,0.059,1.187,0.018,0.019,0.17,0.025,0.026,5649.5,97.0,0.253,0.061,4.352,0.032,1.125,0.026,1.043,0.048,4.6138,0.7,0.01971
HD 189733 b,HD 189733 b,HD 189733,HD189733,189733,0,1.162,0.036,0.035,0.03126,0.00036,0.00037,0.027,0.021,0.018,5012.5,67.8,0.041,0.057,4.571,0.023,0.783,0.014,0.828,0.029,6.2475,0.932,0.05057
HD 190360c,HD 190360c,HD 190360,HD190360,190360,0,0.0674,0.0027,0.0026,0.1294,0.0017,0.0017,0.165,0.027,0.028,5537.7,83.4,0.23,0.061,4.298,0.028,1.166,0.026,0.986,0.039,4.7039,0.73,0.06244
HD 190360 b,HD 190360 b,HD 190360,HD190360,190360,1,1.492,0.043,0.043,3.955,0.052,0.053,0.3274,0.0081,0.0087,5537.7,83.4,0.23,0.061,4.298,0.028,1.166,0.026,0.986,0.039,4.7039,0.73,0.06244
HD 192263 b,HD 192263 b,HD 192263,HD192263,192263,0,0.658,0.03,0.03,0.154,0.0019,0.002,0.04,0.037,0.027,4998.1,97.0,0.048,0.062,4.564,0.032,0.784,0.029,0.821,0.031,6.2965,0.938,-1.0
HD 192310 b,HD 192310 b,HD 192310,HD192310,192310,0,0.0451,0.0064,0.006,0.3262,0.0035,0.0037,0.14,0.12,0.093,5181.1,63.1,0.081,0.06,4.494,0.022,0.858,0.016,0.844,0.028,6.0019,0.878,0.11365
HD 195019 b,HD 195019 b,HD 195019,HD195019,195019,0,3.655,0.091,0.09,0.1376,0.0017,0.0017,0.0198,0.0032,0.0032,5746.6,99.8,0.05,0.063,4.073,0.027,1.556,0.037,1.049,0.039,4.0482,0.64,0.02652
HD 209458 b,HD 209458 b,HD 209458,HD209458,209458,0,0.665,0.022,0.022,0.04635,0.00068,0.0007,0.0105,0.011,0.0074,6026.4,96.9,-0.006,0.06,4.307,0.03,1.2,0.028,1.069,0.048,4.2858,0.53,0.02067
HD 210277 b,HD 210277 b,HD 210277,HD210277,210277,0,1.236,0.032,0.033,1.123,0.014,0.014,0.472,0.0055,0.0056,5505.8,76.5,0.213,0.059,4.327,0.027,1.114,0.025,0.964,0.036,4.9891,0.71,0.04692
